Sequence,Volume,Prim_X_Copy,Prim_Y_Copy,Sec_Length,Sec_Breadth,Sec_Height,Prim_Flap,Prim_Cal,Prim_E1,Prim_E2,Headspace,Sec_Flap,Sec_Caliper,Sec_E1,Sec_E2,TopLoad
1,117.96875,2,3,12.5,6,9.4375,1.6,18,5029.93,1050,0.75,3,3.6,465,316,479.92
2,258.9743059,2,3,15.312,7.92,12.813,2.112,18,5029.93,1050,0.75,3.96,3.6,465,316,495.94
3,386.802,2,3,19,9.048,13.5,1.8096,18,5029.93,1050,0.75,4,3.6,465,316,567.66
4,386.802,2,3,19,9.048,13.5,1.8096,18,5029.93,1050,0.75,4,3,852,509,703.09
5,386.802,2,3,19,9.048,13.5,1.8096,24,5029.93,1050,0.75,4,3,852,509,864.62
6,386.802,2,3,19,9.048,13.5,2.4128,18,5029.93,1050,0.75,4,3.6,465,316,577.34
7,386.802,2,3,19,9.048,13.5,2.4128,18,5029.93,1050,0.75,4,3,852,509,692.43
8,386.802,2,3,19,9.048,13.5,2.4128,18,5029.93,1050,0.75,4.524,3.6,465,316,529.65
9,386.802,2,3,19,9.048,13.5,1.8096,18,5029.93,1050,0,4,3.6,465,316,612.27
10,386.802,2,3,19,9.048,13.5,1.8096,18,5029.93,1050,0,4,3,852,509,724.73
11,386.802,2,3,19,9.048,13.5,1.8096,24,5029.93,1050,0,4.524,3,852,509,982.39
12,258.9743059,2,3,15.312,7.92,12.813,1.584,24,3979.13,1437.87,0.75,3.96,3,852,509,921.56
13,386.802,2,3,19,9.048,13.5,1.8096,18,3979.13,1437.87,0.75,4,3,852,509,710.27
14,386.802,2,3,19,9.048,13.5,1.8096,24,3979.13,1437.87,0.75,4.524,3,852,509,871.86
15,117.96875,2,3,12.5,6,9.4375,1.2,24,3979.13,1437.87,0,3,3,852,509,863.98
16,117.96875,2,3,12.5,6,9.4375,1.6,18,3979.13,1437.87,0,3,3.6,465,316,630.9
17,117.96875,2,3,12.5,6,9.4375,1.6,18,3979.13,1437.87,0,3,3,852,509,783.1
18,117.96875,2,3,12.5,6,9.4375,1.6,24,3979.13,1437.87,0,3,3.6,465,316,791.67
19,117.96875,2,3,12.5,6,9.4375,1.6,24,3979.13,1437.87,0,3,3,852,509,911.1
20,258.9743059,2,3,15.312,7.92,12.813,1.584,24,3979.13,1437.87,0,3.96,3,852,509,945.65
21,258.9743059,2,3,15.312,7.92,12.813,2.112,18,3979.13,1437.87,0,3.96,3.6,465,316,693.02
22,258.9743059,2,3,15.312,7.92,12.813,2.112,18,3979.13,1437.87,0,3.96,3,852,509,812.69
23,258.9743059,2,3,15.312,7.92,12.813,2.112,24,3979.13,1437.87,0,3.96,3.6,465,316,855.83
24,386.802,2,3,19,9.048,13.5,1.8096,18,3979.13,1437.87,0,4.524,3,852,509,759.52
25,386.802,2,3,19,9.048,13.5,1.8096,24,3979.13,1437.87,0,4.524,3.6,465,316,835.42
26,386.802,2,3,19,9.048,13.5,1.8096,24,3979.13,1437.87,0,4.524,3,852,509,904.01
27,386.802,2,3,19,9.048,13.5,2.4128,24,3979.13,1437.87,0,4,3,852,509,921.17
28,386.802,2,3,19,9.048,13.5,2.4128,24,3979.13,1437.87,0,4.524,3,852,509,913.55
29,117.96875,2,4,12.5,8,9.4375,1.2,18,5029.93,1050,0.75,4,3.6,465,316,496.81
30,117.96875,2,4,12.5,8,9.4375,1.2,18,5029.93,1050,0.75,4,3,852,509,645.1
31,117.96875,2,4,12.5,8,9.4375,1.2,24,5029.93,1050,0.75,4,3.6,465,316,673.39
32,117.96875,2,4,12.5,8,9.4375,1.2,24,5029.93,1050,0.75,4,3,852,509,812.27
33,117.96875,2,4,12.5,8,9.4375,1.6,18,5029.93,1050,0.75,4,3.6,465,316,623.68
34,117.96875,2,4,12.5,8,9.4375,1.6,18,5029.93,1050,0.75,4,3,852,509,738.89
35,117.96875,2,4,12.5,8,9.4375,1.6,18,5029.93,1050,0.75,4.5,3.6,465,316,508.35
36,258.9743059,2,4,15.312,10.56,12.813,1.584,18,5029.93,1050,0.75,4,3.6,465,316,595.22
37,258.9743059,2,4,15.312,10.56,12.813,1.584,18,5029.93,1050,0.75,4,3,852,509,675.92
38,258.9743059,2,4,15.312,10.56,12.813,1.584,24,5029.93,1050,0.75,4,3.6,465,316,801.41
39,258.9743059,2,4,15.312,10.56,12.813,2.112,18,5029.93,1050,0.75,4,3.6,465,316,652.31
40,258.9743059,2,4,15.312,10.56,12.813,2.112,18,5029.93,1050,0.75,4,3,852,509,839.43
41,258.9743059,2,4,15.312,10.56,12.813,2.112,18,5029.93,1050,0.75,5.28,3.6,465,316,604.97
42,386.802,2,4,19,12.064,13.5,1.8096,18,5029.93,1050,0.75,4,3.6,465,316,648.49
43,386.802,2,4,19,12.064,13.5,1.8096,18,5029.93,1050,0.75,4,3,852,509,724.55
44,386.802,2,4,19,12.064,13.5,1.8096,24,5029.93,1050,0.75,4,3,852,509,987.18
45,386.802,2,4,19,12.064,13.5,2.4128,18,5029.93,1050,0.75,4,3.6,465,316,747.11
46,386.802,2,4,19,12.064,13.5,2.4128,18,5029.93,1050,0.75,4,3,852,509,851.34
47,386.802,2,4,19,12.064,13.5,2.4128,18,5029.93,1050,0.75,6.032,3.6,465,316,644.09
48,117.96875,2,4,12.5,8,9.4375,1.2,18,5029.93,1050,0,4,3.6,465,316,633.47
49,117.96875,2,4,12.5,8,9.4375,1.6,24,5029.93,1050,0,4,3,852,509,961.14
50,258.9743059,2,4,15.312,10.56,12.813,1.584,18,5029.93,1050,0,4,3.6,465,316,711.39
51,258.9743059,2,4,15.312,10.56,12.813,1.584,18,5029.93,1050,0,4,3,852,509,798.44
52,258.9743059,2,4,15.312,10.56,12.813,2.112,24,5029.93,1050,0,4,3,852,509,1037.33
53,386.802,2,4,19,12.064,13.5,1.8096,18,5029.93,1050,0,4,3.6,465,316,761.06
54,386.802,2,4,19,12.064,13.5,1.8096,18,5029.93,1050,0,4,3,852,509,849.67
55,386.802,2,4,19,12.064,13.5,1.8096,24,5029.93,1050,0,6.032,3,852,509,1128.51
56,117.96875,2,4,12.5,8,9.4375,1.2,24,3979.13,1437.87,0.75,4.5,3,852,509,875.96
57,258.9743059,2,4,15.312,10.56,12.813,1.584,18,3979.13,1437.87,0.75,4,3.6,465,316,608.27
58,258.9743059,2,4,15.312,10.56,12.813,1.584,24,3979.13,1437.87,0.75,5.28,3,852,509,976.41
59,386.802,2,4,19,12.064,13.5,1.8096,18,3979.13,1437.87,0.75,4,3,852,509,753.78
60,386.802,2,4,19,12.064,13.5,1.8096,24,3979.13,1437.87,0.75,6.032,3,852,509,1059.75
61,117.96875,2,4,12.5,8,9.4375,1.2,18,3979.13,1437.87,0,4,3.6,465,316,653.05
62,117.96875,2,4,12.5,8,9.4375,1.2,24,3979.13,1437.87,0,4.5,3,852,509,943.23
63,117.96875,2,4,12.5,8,9.4375,1.6,18,3979.13,1437.87,0,4,3,852,509,796.73
64,117.96875,2,4,12.5,8,9.4375,1.6,24,3979.13,1437.87,0,4,3,852,509,958.29
65,117.96875,2,4,12.5,8,9.4375,1.6,18,3979.13,1437.87,0,4.5,3,852,509,789.6
66,117.96875,2,4,12.5,8,9.4375,1.6,24,3979.13,1437.87,0,4.5,3.6,465,316,933.99
67,117.96875,2,4,12.5,8,9.4375,1.6,24,3979.13,1437.87,0,4.5,3,852,509,996.29
68,258.9743059,2,4,15.312,10.56,12.813,1.584,24,3979.13,1437.87,0,5.28,3,852,509,1080.96
69,258.9743059,2,4,15.312,10.56,12.813,2.112,18,3979.13,1437.87,0,4,3,852,509,862.74
70,258.9743059,2,4,15.312,10.56,12.813,2.112,24,3979.13,1437.87,0,4,3,852,509,1073.91
71,258.9743059,2,4,15.312,10.56,12.813,2.112,18,3979.13,1437.87,0,5.28,3.6,465,316,744.79
72,258.9743059,2,4,15.312,10.56,12.813,2.112,18,3979.13,1437.87,0,5.28,3,852,509,822.03
73,258.9743059,2,4,15.312,10.56,12.813,2.112,24,3979.13,1437.87,0,5.28,3.6,465,316,964.67
74,386.802,2,4,19,12.064,13.5,1.8096,18,3979.13,1437.87,0,6.032,3,852,509,895.85
75,386.802,2,4,19,12.064,13.5,1.8096,24,3979.13,1437.87,0,6.032,3.6,465,316,1074.67
76,386.802,2,4,19,12.064,13.5,1.8096,24,3979.13,1437.87,0,6.032,3,852,509,961.02
77,386.802,2,4,19,12.064,13.5,2.4128,24,3979.13,1437.87,0,4,3,852,509,1154.17
78,386.802,2,4,19,12.064,13.5,2.4128,24,3979.13,1437.87,0,6.032,3,852,509,1096.44
79,117.96875,2,5,12.5,10,9.4375,1.2,18,5029.93,1050,0.75,4,3.6,465,316,623.12
80,117.96875,2,5,12.5,10,9.4375,1.2,18,5029.93,1050,0.75,4,3,852,509,763.32
81,117.96875,2,5,12.5,10,9.4375,1.2,24,5029.93,1050,0.75,4,3.6,465,316,837.84
82,117.96875,2,5,12.5,10,9.4375,1.2,24,5029.93,1050,0.75,4,3,852,509,941
83,117.96875,2,5,12.5,10,9.4375,1.6,18,5029.93,1050,0.75,4,3.6,465,316,683.59
84,117.96875,2,5,12.5,10,9.4375,1.6,18,5029.93,1050,0.75,4,3,852,509,873.48
85,117.96875,2,5,12.5,10,9.4375,1.6,18,5029.93,1050,0.75,5,3.6,465,316,627.9
86,258.9743059,2,5,15.312,13.2,12.813,1.584,18,5029.93,1050,0.75,4,3.6,465,316,713.17
87,258.9743059,2,5,15.312,13.2,12.813,1.584,18,5029.93,1050,0.75,4,3,852,509,818.44
88,258.9743059,2,5,15.312,13.2,12.813,1.584,24,5029.93,1050,0.75,4,3.6,465,316,962.45
89,258.9743059,2,5,15.312,13.2,12.813,2.112,18,5029.93,1050,0.75,4,3.6,465,316,711.76
90,258.9743059,2,5,15.312,13.2,12.813,2.112,18,5029.93,1050,0.75,4,3,852,509,824.52
91,386.802,2,5,19,15.08,13.5,1.8096,18,5029.93,1050,0.75,4,3.6,465,316,747.69
92,386.802,2,5,19,15.08,13.5,1.8096,18,5029.93,1050,0.75,4,3,852,509,814.07
93,386.802,2,5,19,15.08,13.5,1.8096,24,5029.93,1050,0.75,4,3,852,509,1122.08
94,386.802,2,5,19,15.08,13.5,2.4128,18,5029.93,1050,0.75,4,3.6,465,316,757.09
95,386.802,2,5,19,15.08,13.5,2.4128,18,5029.93,1050,0.75,4,3,852,509,827.15
96,386.802,2,5,19,15.08,13.5,2.4128,18,5029.93,1050,0.75,7.54,3.6,465,316,780.33
97,117.96875,2,5,12.5,10,9.4375,1.2,18,5029.93,1050,0,4,3.6,465,316,722.15
98,117.96875,2,5,12.5,10,9.4375,1.2,18,5029.93,1050,0,4,3,852,509,797.96
99,117.96875,2,5,12.5,10,9.4375,1.6,24,5029.93,1050,0,4,3,852,509,1098.8
100,258.9743059,2,5,15.312,13.2,12.813,1.584,18,5029.93,1050,0,4,3.6,465,316,826.76
101,258.9743059,2,5,15.312,13.2,12.813,1.584,18,5029.93,1050,0,4,3,852,509,928.52
102,258.9743059,2,5,15.312,13.2,12.813,2.112,24,5029.93,1050,0,4,3,852,509,1190.59
103,386.802,2,5,19,15.08,13.5,1.8096,18,5029.93,1050,0,4,3.6,465,316,860.14
104,386.802,2,5,19,15.08,13.5,1.8096,18,5029.93,1050,0,4,3,852,509,948.56
105,386.802,2,5,19,15.08,13.5,1.8096,24,5029.93,1050,0,7.54,3,852,509,1260.03
106,258.9743059,2,5,15.312,13.2,12.813,1.584,18,3979.13,1437.87,0.75,4,3.6,465,316,744.37
107,258.9743059,2,5,15.312,13.2,12.813,1.584,24,3979.13,1437.87,0.75,6.6,3,852,509,1167.01
108,386.802,2,5,19,15.08,13.5,1.8096,18,3979.13,1437.87,0.75,4,3,852,509,841.83
109,386.802,2,5,19,15.08,13.5,1.8096,24,3979.13,1437.87,0.75,7.54,3,852,509,1242.46
110,117.96875,2,5,12.5,10,9.4375,1.2,18,3979.13,1437.87,0,4,3.6,465,316,750.32
111,117.96875,2,5,12.5,10,9.4375,1.2,24,3979.13,1437.87,0,5,3,852,509,1087.39
112,117.96875,2,5,12.5,10,9.4375,1.6,18,3979.13,1437.87,0,4,3,852,509,900.24
113,117.96875,2,5,12.5,10,9.4375,1.6,24,3979.13,1437.87,0,4,3,852,509,1165.29
114,117.96875,2,5,12.5,10,9.4375,1.6,18,3979.13,1437.87,0,5,3,852,509,849.07
115,117.96875,2,5,12.5,10,9.4375,1.6,24,3979.13,1437.87,0,5,3,852,509,1090.99
116,258.9743059,2,5,15.312,13.2,12.813,1.584,24,3979.13,1437.87,0,6.6,3,852,509,1261.54
117,258.9743059,2,5,15.312,13.2,12.813,2.112,18,3979.13,1437.87,0,4,3,852,509,935.34
118,258.9743059,2,5,15.312,13.2,12.813,2.112,24,3979.13,1437.87,0,4,3,852,509,1242.86
119,258.9743059,2,5,15.312,13.2,12.813,2.112,18,3979.13,1437.87,0,6.6,3.6,465,316,866.93
120,258.9743059,2,5,15.312,13.2,12.813,2.112,18,3979.13,1437.87,0,6.6,3,852,509,956.68
121,258.9743059,2,5,15.312,13.2,12.813,2.112,24,3979.13,1437.87,0,6.6,3.6,465,316,1134.79
122,386.802,2,5,19,15.08,13.5,1.8096,18,3979.13,1437.87,0,7.54,3,852,509,1039.45
123,386.802,2,5,19,15.08,13.5,1.8096,24,3979.13,1437.87,0,7.54,3.6,465,316,1233.43
124,386.802,2,5,19,15.08,13.5,1.8096,24,3979.13,1437.87,0,7.54,3,852,509,1347.68
125,386.802,2,5,19,15.08,13.5,2.4128,24,3979.13,1437.87,0,4,3,852,509,1280.06
126,386.802,2,5,19,15.08,13.5,2.4128,24,3979.13,1437.87,0,7.54,3,852,509,1279.73
127,117.96875,2,6,12.5,12,9.4375,1.2,18,5029.93,1050,0.75,4,3.6,465,316,699.02
128,117.96875,2,6,12.5,12,9.4375,1.2,18,5029.93,1050,0.75,4,3,852,509,878.48
129,117.96875,2,6,12.5,12,9.4375,1.2,24,5029.93,1050,0.75,4,3.6,465,316,935.14
130,117.96875,2,6,12.5,12,9.4375,1.2,24,5029.93,1050,0.75,4,3,852,509,1154.48
131,117.96875,2,6,12.5,12,9.4375,1.6,18,5029.93,1050,0.75,4,3.6,465,316,763.56
132,117.96875,2,6,12.5,12,9.4375,1.6,18,5029.93,1050,0.75,4,3,852,509,860.62
133,117.96875,2,6,12.5,12,9.4375,1.6,18,5029.93,1050,0.75,6,3.6,465,316,773.04
134,258.9743059,2,6,15.312,15.84,12.813,1.584,18,5029.93,1050,0.75,4,3.6,465,316,785.56
135,258.9743059,2,6,15.312,15.84,12.813,1.584,18,5029.93,1050,0.75,4,3,852,509,995.92
136,258.9743059,2,6,15.312,15.84,12.813,1.584,24,5029.93,1050,0.75,4,3.6,465,316,1060.16
137,258.9743059,2,6,15.312,15.84,12.813,2.112,18,5029.93,1050,0.75,4,3.6,465,316,886.94
138,258.9743059,2,6,15.312,15.84,12.813,2.112,18,5029.93,1050,0.75,4,3,852,509,994.23
139,258.9743059,2,6,15.312,15.84,12.813,2.112,18,5029.93,1050,0.75,7.92,3.6,465,316,901.47
140,386.802,2,6,19,18.096,13.5,1.8096,18,5029.93,1050,0.75,4,3.6,465,316,714.5
141,386.802,2,6,19,18.096,13.5,1.8096,18,5029.93,1050,0.75,4,3,852,509,718.93
